Type,Retailprice,Sport,SUV,Wagon,Minivan,Pickup,Engine,Cylinders,Horsepower,CityMPG,HwyMPG,Weight,Wheelbase,Length,Height
Other,14810,0,0,0,0,0,2.2,4,140,26,37,2676,104,183,68
RWD,14840,0,0,0,0,1,2.3,4,143,24,29,2960,112,NA,NA
Other,14850,0,0,0,0,0,2.2,4,140,26,35,2751,103,185,68
Other,15030,0,0,0,0,0,1.8,4,130,32,40,2524,102,178,67
Other,15040,0,0,0,0,0,2,4,132,29,36,2626,105,174,67
Other,15295,0,0,0,0,0,1.8,4,130,32,40,2524,102,178,67
Other,15389,0,0,0,0,0,2,4,138,26,34,2635,103,178,68
Other,15389,0,0,0,0,0,2,4,138,26,34,2698,103,178,68
Other,15460,0,0,0,0,0,2,4,130,26,33,2606,103,168,67
Other,15495,0,0,0,0,0,2.2,4,140,24,33,2771,104,182,68
Other,15500,0,0,0,0,0,2,4,148,NA,NA,2696,NA,NA,NA
Other,15568,0,0,0,0,0,2,4,119,22,30,2756,102,177,68
Other,15580,0,0,0,0,0,2,4,130,26,33,2691,103,168,67
Other,15825,0,0,0,0,0,2.2,4,140,26,35,2692,103,185,67
Other,15850,0,0,0,0,0,1.7,4,115,32,38,2513,103,175,68
Other,16040,0,0,0,0,0,2.4,4,138,23,30,3281,106,186,72
Other,16350,0,0,0,0,0,2.2,4,140,26,35,2751,103,185,68
Other,16385,0,0,0,0,0,2.2,4,140,26,37,2617,104,183,69
RWD,16495,0,0,0,0,1,3.4,6,190,16,20,3925,128,NA,NA
AWD,16497,0,0,1,0,0,2.3,4,155,24,29,2932,98,167,68
RWD,16530,0,0,0,0,1,2.8,4,175,19,24,3351,111,NA,NA
Other,16695,0,0,1,0,0,1.8,4,130,29,36,2679,102,171,70
Other,16722,0,0,0,0,0,2,4,120,NA,NA,2795,102,181,67
Other,16999,0,0,0,0,0,1.6,4,115,28,37,2524,97,143,67
RWD,17045,0,0,1,0,0,1.8,4,130,29,36,2701,102,172,70
AWD,17163,0,1,0,0,0,2.5,6,165,19,22,3020,98,163,67
Other,17200,0,0,0,0,0,2.3,4,160,NA,NA,2762,NA,NA,NA
Other,17232,0,0,0,0,0,2,4,120,NA,NA,2744,102,181,67
Other,17262,0,0,0,0,0,2.5,6,155,20,27,3380,106,188,72
Other,17475,0,0,1,0,0,2,4,130,26,33,2702,103,178,67
Other,17495,0,0,1,0,0,2.4,4,160,NA,NA,3020,102,181,67
RWD,17630,0,0,0,0,1,3.7,6,210,16,22,3714,112,NA,NA
Other,17640,0,0,0,0,0,2.5,4,165,23,28,2761,100,178,67
Other,17735,0,0,0,0,0,2.2,4,140,24,33,2771,104,182,68
Other,17750,0,0,0,0,0,1.7,4,127,32,37,2601,103,175,68
Other,17985,0,0,0,0,0,2.4,4,150,22,29,3101,103,169,67
RWD,18345,1,0,0,0,0,3.8,6,193,20,29,3290,101,183,73
Other,18435,0,0,0,0,0,2.7,6,170,20,27,3279,106,186,72
AWD,18690,0,1,0,0,0,2.4,4,160,21,24,3468,101,167,72
Other,18715,0,0,0,0,0,2,4,115,24,31,2897,99,165,68
Other,18739,1,0,0,0,0,2.7,6,172,19,26,3023,100,173,69
AWD,18760,0,0,0,0,1,2.8,4,175,18,23,3623,111,NA,NA
Other,18820,0,0,0,0,0,2.4,4,150,21,28,3182,108,191,71
Other,18825,0,0,0,0,0,2.2,4,140,24,32,2946,107,187,70
Other,18892,0,1,0,0,0,2.4,4,160,21,27,3240,103,179,69
Other,18995,0,0,0,0,0,2.2,4,145,24,34,3174,106,188,70
Other,19005,0,0,1,0,0,2,4,115,24,30,3034,99,174,68
Other,19090,0,0,0,0,0,2.4,4,150,22,30,3173,108,191,71
Other,19110,0,0,0,0,0,2,3,73,60,66,1850,95,155,67
Other,19135,0,0,0,0,0,2,4,170,21,28,2750,103,168,67
Other,19240,0,0,0,0,0,2.5,4,175,21,26,3039,110,192,70
Other,19270,0,0,0,0,0,2.3,4,160,24,32,3042,105,187,70
Other,19312,0,0,0,0,0,2.4,4,160,NA,NA,3351,108,191,72
Other,19339,0,0,0,0,0,2.7,6,170,19,27,3217,106,187,72
AWD,19479,0,0,0,0,1,3.3,6,180,17,20,3932,116,NA,NA
Other,19490,0,0,0,0,0,2,4,160,26,30,2782,101,166,67
Other,19560,0,0,0,0,0,2.4,4,157,24,33,3086,107,189,71
Other,19635,0,0,0,0,0,2.4,4,157,24,33,3175,107,193,72
Other,19635,0,1,0,0,0,3.5,6,192,16,19,4112,107,180,73
Other,19825,0,0,0,0,0,1.8,4,180,24,31,2934,99,168,68
Other,19860,0,0,0,0,0,2.4,4,160,26,34,2994,105,188,71
AWD,19860,0,1,0,0,0,2.4,4,160,21,25,3258,103,179,70
AWD,19945,0,0,0,0,0,2.5,4,165,22,28,2965,99,174,69
Other,19999,0,0,0,0,0,1.6,4,163,25,34,2678,97,144,67
AWD,20130,0,1,0,0,0,2.4,4,150,20,24,3826,104,174,72
Other,20140,0,0,0,0,0,1.4,4,93,46,51,2732,103,175,68
RWD,20215,0,0,0,0,1,3.7,6,215,16,21,4542,121,NA,NA
Other,20220,0,0,0,0,0,2.4,4,150,21,28,3175,108,191,71
Other,20255,0,1,0,0,0,2.5,6,165,19,22,2866,98,163,67
AWD,20290,0,1,0,0,0,2.4,4,161,22,27,3119,98,167,68
RWD,20300,0,0,0,0,1,3.7,6,210,16,22,3829,131,NA,NA
RWD,20310,0,0,0,0,1,4.3,6,200,15,21,4142,119,NA,NA
Other,20320,0,0,0,0,0,3,6,155,20,27,3306,109,198,73
Other,20339,0,0,0,0,0,2.7,6,170,19,27,3217,106,187,72
Other,20370,0,0,0,0,0,3.5,6,200,22,30,3297,106,188,70
AWD,20445,0,0,0,0,0,2.5,4,165,21,28,3285,104,184,69
Other,20449,0,1,0,0,0,3.2,6,193,17,21,3836,106,178,70
Other,20510,0,0,0,0,0,1.5,4,110,59,51,2890,106,175,68
AWD,20585,0,1,0,0,0,2.2,4,143,21,26,3381,107,181,72
Other,20615,0,0,0,1,0,3.5,6,195,16,22,4802,115,194,75
Other,20939,0,1,0,0,0,3.3,6,180,17,20,3760,104,178,70
Other,21055,0,0,0,0,0,1.9,4,100,38,46,3003,99,172,68
Other,21055,0,0,0,0,0,1.8,4,150,24,31,2820,99,161,68
AWD,21087,0,1,0,0,0,2,4,130,22,25,3091,103,173,72
Other,21410,0,0,0,0,0,3,6,182,20,28,3197,107,190,69
AWD,21445,0,0,1,0,0,2.5,4,165,21,28,3090,99,175,68
Other,21589,0,1,0,0,0,2.7,6,173,20,26,3549,103,177,73
Other,21595,0,0,0,0,0,3,6,155,20,27,3308,109,200,73
Other,21595,0,1,0,0,0,3.4,6,185,19,26,3779,108,182,74
Other,21795,0,0,0,1,0,2.4,4,150,20,26,3862,113,189,79
Other,21825,0,0,0,0,0,3.4,6,180,21,32,3340,111,198,73
Other,21840,0,0,0,0,0,2.7,6,200,21,28,3222,108,191,71
Other,21900,0,0,0,0,0,3.4,6,180,21,32,3465,111,200,73
Other,21965,0,0,0,0,0,3.3,6,225,20,29,3417,107,193,72
Other,22000,0,0,0,0,0,2.4,4,150,22,29,3105,103,169,67
RWD,22010,0,0,0,0,1,4.6,8,231,15,19,4788,126,NA,NA
Other,22035,0,0,0,0,0,2.7,6,200,21,29,3469,113,204,75
Other,22180,0,0,0,0,0,3.1,6,175,20,30,3353,109,195,73
Other,22225,0,0,1,0,0,3.5,6,200,22,30,3458,112,188,70
Other,22260,0,0,0,0,0,2.4,4,160,26,34,3047,105,188,71
Other,22290,0,0,1,0,0,3,6,155,19,26,3497,109,198,73
AWD,22350,0,0,0,0,1,4,6,207,15,19,3571,126,NA,NA
RWD,22388,1,0,0,0,0,1.8,4,142,23,28,2387,89,156,66
Other,22395,0,0,0,0,0,3.8,6,200,20,30,3477,111,198,74
Other,22450,0,0,0,0,0,3.4,6,175,20,29,3118,107,186,70
AWD,22515,0,1,0,0,0,3,6,201,18,23,3346,103,173,70
Other,22570,1,0,0,0,0,1.8,4,180,24,33,2500,102,171,68
Other,22595,0,0,1,0,0,3,6,155,19,26,3488,109,198,73
Other,22735,0,0,0,0,0,3,6,201,19,26,3313,109,198,73
Other,22775,0,0,0,0,0,3,6,210,21,29,3296,107,189,71
Other,23215,0,0,0,0,0,2,4,115,24,30,3082,99,161,68
Other,23290,0,0,0,0,0,3.5,6,245,21,26,3197,110,192,70
Other,23495,0,0,0,1,0,3.3,6,230,19,27,4120,119,200,77
Other,23495,0,0,0,0,0,3.5,6,200,23,32,3315,106,188,70
Other,23560,0,0,1,0,0,2.2,4,140,24,34,3109,107,190,69
Other,23675,0,0,0,0,0,3.4,6,170,20,29,3085,107,187,70
Other,23699,0,1,0,0,0,2.7,6,185,18,22,3682,110,187,70
Other,23760,0,0,0,0,0,3,6,240,21,30,3349,108,190,72
Other,23785,0,0,0,0,0,2.8,6,200,21,30,3179,99,172,68
Other,23820,0,0,0,0,0,2,4,200,24,31,2778,101,172,68
Other,23845,0,0,0,1,0,3.4,6,185,19,26,3803,112,187,72
Other,23895,0,0,0,0,0,3,6,201,19,26,3315,109,200,73
AWD,23895,0,0,1,0,0,2.5,4,165,21,28,3430,104,187,69
Other,23955,0,0,0,0,0,1.8,4,170,22,31,3241,106,185,69
Other,24130,0,0,0,0,0,2.7,6,200,21,29,3479,113,208,74
Other,24225,0,0,0,0,0,3.8,6,200,18,28,3434,111,198,73
Other,24295,0,0,0,0,0,3.8,6,200,20,30,3484,111,198,74
RWD,24345,0,0,0,0,0,4.6,8,224,17,25,4057,115,212,78
AWD,24520,0,0,0,0,1,2.5,4,165,21,28,3485,104,NA,NA
Other,24589,0,0,0,0,0,3.5,6,194,17,26,3651,108,192,72
RWD,24695,0,0,0,0,0,4.6,8,224,17,25,4052,115,212,78
Other,24780,0,0,0,1,0,3.5,6,240,19,26,4012,124,204,78
Other,24885,0,0,0,0,0,3.5,6,232,18,27,3487,113,204,75
Other,24895,0,0,0,0,0,3.8,6,200,20,30,3461,109,196,73
Other,24950,0,0,0,1,0,3.5,6,240,18,25,4310,118,201,76
Other,24955,0,0,1,0,0,1.8,4,170,22,31,3338,106,184,69
Other,25000,0,0,0,0,0,3.8,6,200,20,30,3476,111,200,73
AWD,25045,1,0,0,0,0,2,4,227,20,27,3085,99,174,69
Other,25092,1,0,0,0,0,3,6,210,21,28,3241,101,177,69
RWD,25130,1,0,0,0,0,1.8,4,138,26,32,2195,97,153,67
Other,25135,0,0,0,0,0,1.9,4,170,22,29,2767,101,178,68
RWD,25193,1,0,0,0,0,1.8,4,142,23,28,2387,89,156,66
Other,25215,0,0,0,0,0,2.4,4,150,22,30,3357,106,194,64
AWD,25395,0,0,0,0,1,4.3,6,190,15,19,4083,123,NA,NA
AWD,25520,0,1,0,0,0,4,6,190,16,19,3575,93,150,67
RWD,25640,0,0,0,1,0,4.3,6,190,16,20,4309,111,190,78
AWD,25645,0,0,0,0,0,2.5,4,165,21,28,3395,104,184,69
Other,25700,0,0,0,0,0,3.8,6,230,18,26,3649,108,191,72
RWD,25700,1,0,0,0,0,1.3,NA,197,18,25,3053,106,174,*
RWD,25717,0,0,0,0,1,4.8,8,285,17,20,4548,144,NA,NA
Other,25920,0,0,0,0,0,3,6,210,21,29,3362,107,189,71
AWD,25935,0,0,0,0,1,3.4,6,190,14,17,4435,128,NA,NA
Other,25940,0,0,0,0,0,1.8,4,170,22,31,3252,104,179,70
Other,25955,0,0,0,0,0,2.4,4,220,21,27,3217,103,169,67
AWD,25995,0,1,0,0,0,2.5,6,174,18,21,3577,101,175,71
Other,26000,0,0,0,0,0,3.5,6,195,17,25,NA,110,196,73
RWD,26060,0,0,0,0,0,1.8,4,189,22,30,3250,107,178,68
Other,26135,0,0,1,0,0,1.9,4,170,22,29,2822,101,180,68
Other,26189,0,0,0,0,0,3.5,6,194,17,26,3651,108,192,72
AWD,26395,0,0,0,1,0,4.3,6,190,14,17,4605,111,190,78
Other,26470,0,0,0,0,0,3.8,6,205,20,29,3567,112,200,74
Other,26510,0,0,0,0,0,3.3,6,225,20,29,3439,107,193,72
Other,26545,0,1,0,0,0,3.4,6,185,19,26,4024,112,187,74
Other,26560,0,0,0,0,0,3,6,210,21,29,3417,107,192,72
AWD,26650,0,0,0,0,1,5.6,8,305,14,18,5287,140,NA,NA
Other,26860,0,0,0,0,0,3.5,6,232,19,27,3548,113,208,74
RWD,26910,1,0,0,0,0,3.5,6,287,20,26,3188,104,169,72
Other,26930,0,0,0,1,0,3.9,6,193,17,23,4275,121,201,77
Other,26960,0,0,0,0,0,3,6,240,21,30,3294,105,188,71
Other,26990,0,0,0,0,0,2.4,4,200,22,29,3230,105,183,69
Other,26992,1,0,0,0,0,3,6,210,21,28,3296,101,177,69
Other,27020,0,0,0,1,0,3.4,6,185,19,26,3699,112,187,72
AWD,27145,0,0,0,0,0,2.5,4,165,20,27,3495,104,184,69
RWD,27200,1,0,0,0,0,1.3,NA,238,18,24,3029,106,174,*
Other,27339,0,1,0,0,0,3.5,6,240,16,21,3871,106,183,72
RWD,27370,0,0,0,0,0,4.6,8,224,17,25,4057,115,212,78
Other,27450,0,0,0,1,0,3.5,6,240,18,25,4365,118,201,76
Other,27490,0,0,0,1,0,3.3,6,180,19,26,4068,119,201,79
Other,27490,0,0,0,0,0,3.5,6,265,20,28,3473,111,194,72
AWD,27560,0,1,0,0,0,3.5,6,240,17,22,4387,106,188,77
Other,27710,0,1,0,0,0,4,6,245,18,21,4035,110,189,74
Other,27905,0,1,0,0,0,4,6,195,16,21,3790,106,181,72
AWD,27930,0,1,0,0,0,3.3,6,230,18,24,3935,107,185,72
Other,27995,0,0,0,0,0,3.8,6,240,18,28,3606,111,200,73
Other,28345,0,0,0,0,0,3.8,6,240,18,28,3536,109,196,73
RWD,28370,0,0,0,0,0,3.2,6,215,19,26,3430,107,178,68
RWD,28495,0,0,0,0,0,2.5,6,184,20,29,3219,107,176,69
RWD,28495,0,0,0,0,0,3.5,6,260,18,26,3336,112,187,69
RWD,28739,0,0,1,0,0,3.5,6,245,20,25,3801,111,188,74
Other,28750,0,0,0,1,0,3,6,200,18,25,3812,112,188,72
Other,28790,0,0,0,1,0,3.4,6,185,19,26,3948,120,201,72
Other,28800,0,0,0,1,0,3.3,6,230,19,27,4165,119,200,77
Other,29282,0,0,0,0,0,3.5,6,205,18,25,3549,107,194,70
AWD,29322,0,0,0,0,1,6,8,300,NA,NA,5440,133,NA,NA
AWD,29345,0,0,0,0,0,3,6,212,19,26,3610,104,184,69
RWD,29380,1,0,0,0,0,4.6,8,260,17,25,3347,101,183,73
Other,29440,0,0,0,0,0,3.5,6,265,20,28,3476,111,194,72
Other,29562,1,0,0,0,0,2,4,271,18,26,3263,103,179,70
RWD,29595,0,0,0,0,0,4.6,8,224,17,25,4052,115,212,78
AWD,29670,0,1,0,0,0,4,6,210,15,20,4463,114,190,72
RWD,29795,0,0,0,0,0,3.5,6,280,18,26,3416,112,182,72
Other,29865,0,0,0,0,0,3.5,6,250,18,27,3581,113,198,74
Other,29995,0,1,0,0,0,4,6,210,16,21,4374,114,190,72
AWD,29995,0,0,0,0,0,2.5,6,192,18,26,3428,107,184,70
AWD,30245,0,0,0,0,0,2.5,6,184,19,27,3461,107,176,69
Other,30295,0,1,0,0,0,4.2,6,275,16,21,4425,113,192,75
RWD,30315,0,0,0,0,0,4.6,8,239,17,25,4057,115,212,78
AWD,30492,0,1,0,0,0,3.8,6,215,17,21,4134,109,190,74
RWD,30795,0,0,0,0,0,2.5,6,184,20,29,3197,107,177,69
RWD,30835,0,0,0,0,0,3.6,6,255,18,25,3694,113,190,71
Other,30860,0,0,0,0,0,2,4,210,20,28,3175,105,183,69
RWD,30895,0,0,0,0,0,4.6,8,224,17,25,4052,115,212,78
Other,30920,0,0,0,0,0,3,6,210,21,29,3439,107,192,72
Other,30950,0,0,0,0,0,2.7,6,200,21,28,3448,106,194,69
RWD,31045,0,0,0,0,0,3,6,215,18,25,3255,105,177,68
Other,31145,0,0,0,0,0,3.5,6,255,19,26,3306,108,194,70
RWD,31230,0,0,1,0,0,3.5,6,250,17,23,4675,116,199,79
AWD,31370,0,0,0,1,0,3.4,6,185,18,24,4431,121,201,72
AWD,31545,0,0,0,0,0,3,6,212,19,26,3630,104,184,69
AWD,31545,1,0,0,0,0,2.5,4,300,18,24,3263,100,174,69
AWD,31745,0,0,0,0,0,2.5,5,208,20,27,3903,107,180,71
Other,31840,0,0,0,0,0,3,6,220,20,28,3462,104,179,70
AWD,31849,0,1,0,0,0,4.2,6,275,15,20,4967,129,208,76
Other,31890,0,1,0,0,0,4.2,6,275,15,19,4945,129,208,75
AWD,32235,0,1,0,0,0,4.7,8,230,15,21,4987,119,201,76
Other,32245,0,0,0,0,0,3.8,6,205,20,29,3591,112,200,74
RWD,32280,0,0,0,0,0,2.6,6,168,20,25,3360,107,178,68
Other,32350,0,0,0,0,0,3.3,6,225,20,29,3460,107,191,71
RWD,32415,0,0,0,0,0,3,6,215,18,24,3285,105,177,68
AWD,32445,0,0,0,0,0,3.5,6,260,18,26,3677,112,187,69
RWD,32455,0,0,1,0,0,3,6,215,18,24,3410,105,177,68
RWD,32495,0,0,0,0,0,3,6,232,20,26,3681,115,194,73
AWD,32660,0,0,0,1,0,3.8,6,215,18,25,4440,119,201,79
Other,32780,0,0,0,1,0,3.5,6,240,18,25,4175,124,204,78
AWD,32845,0,0,1,0,0,2.5,6,184,19,26,3594,107,176,69
AWD,33112,0,1,0,0,0,3.8,6,215,15,19,4718,110,190,75
Other,33180,0,0,0,0,0,2.8,6,190,19,26,3721,106,185,69
Other,33195,0,0,0,0,0,3.2,6,270,20,28,3575,108,186,72
RWD,33260,1,0,0,0,0,2.2,4,240,20,25,2835,95,162,69
Other,33295,0,0,0,0,0,3.5,6,255,18,27,3650,113,198,74
Other,33360,0,0,0,0,0,2,4,210,20,28,3175,105,183,69
AWD,33430,0,0,0,0,0,3,6,220,17,26,3583,104,179,70
AWD,33480,0,0,0,0,0,2.6,6,168,19,25,3360,107,178,68
RWD,33500,1,0,0,0,0,5.7,8,340,NA,NA,3725,110,190,73
AWD,33540,0,0,0,0,1,5.4,8,300,14,18,5464,133,NA,NA
RWD,33780,0,0,1,0,0,2.6,6,168,19,25,3470,107,179,68
Other,33840,0,1,0,0,0,5.6,8,305,13,19,5013,123,207,79
RWD,33895,1,0,0,0,0,2.5,6,184,20,28,2932,98,161,70
Other,33995,0,0,0,1,0,4.2,6,201,16,23,4340,121,202,77
AWD,33995,0,0,0,0,0,3,6,227,18,25,3516,107,184,70
RWD,34390,1,0,0,0,0,3.5,6,287,20,26,3428,104,169,72
AWD,34480,0,0,0,0,0,3,6,220,18,25,3627,104,179,70
RWD,34495,0,0,0,0,0,4.6,8,302,17,23,4195,115,212,78
RWD,34495,1,0,0,0,0,3.2,6,215,17,25,3060,95,160,70
Other,34560,0,1,0,0,0,4.6,8,232,15,19,5000,119,206,79
Other,34845,0,0,0,0,0,2.3,5,247,20,28,3766,107,180,71
RWD,34895,0,0,1,0,0,3.5,6,280,16,22,4056,112,189,76
Other,35105,0,0,0,0,0,2.3,4,220,21,29,3470,106,190,71
AWD,35145,0,0,1,0,0,2.5,5,208,20,27,3823,109,186,73
RWD,35495,0,0,0,0,0,3,6,225,20,30,3285,107,176,69
AWD,35515,0,1,0,0,0,3.2,6,220,15,20,5086,112,187,76
Other,35545,0,0,0,0,0,3.8,6,205,20,29,3778,114,207,75
AWD,35695,0,1,0,0,0,4.7,8,240,14,17,5270,118,204,78
Other,35725,0,1,0,0,0,4.8,8,285,16,19,5042,116,199,79
RWD,35920,0,0,0,0,0,3.2,6,215,19,26,3430,107,178,68
Other,35940,0,0,0,0,0,1.8,4,170,23,30,3638,105,180,70
Other,35940,1,0,0,0,0,1.8,4,180,20,28,3131,95,159,73
Other,35995,0,0,0,0,0,4.6,8,275,NA,NA,3790,112,203,74
AWD,36100,0,0,0,0,1,5.3,8,295,14,18,5678,130,NA,NA
AWD,36395,0,0,1,0,0,4.5,8,315,15,19,4309,112,189,76
Other,36640,0,0,0,0,0,3,6,220,20,27,3561,109,192,71
RWD,36895,0,0,0,0,0,3,6,232,20,26,3681,115,194,73
AWD,36945,0,1,0,0,0,3.5,6,265,17,23,4451,106,189,77
RWD,36995,0,0,0,0,0,3,6,225,20,30,3285,107,176,69
AWD,37000,0,1,0,0,0,3,6,225,16,23,4023,110,180,73
AWD,37245,0,0,0,0,0,3,6,225,20,29,3483,107,176,69
AWD,37390,1,0,0,0,0,1.8,4,225,20,28,2921,96,159,73
Other,37530,1,0,0,0,0,3.9,8,280,17,24,3780,107,186,72
AWD,37560,0,0,0,0,0,2.5,5,300,18,25,3571,107,181,71
RWD,37630,0,0,0,0,0,3.2,6,215,20,26,3450,107,178,68
Other,37730,0,0,0,0,0,2.9,6,208,20,28,3576,110,190,72
AWD,37885,0,0,0,0,0,2.5,5,194,20,27,3691,110,190,72
AWD,37895,0,1,0,0,0,4.2,6,275,15,21,4600,113,193,75
RWD,37995,0,0,0,0,0,2.5,6,184,19,27,3560,107,177,69
Other,38380,0,0,0,1,0,3.8,6,215,18,25,4331,119,201,79
AWD,38830,0,0,0,0,0,3.2,6,215,19,27,NA,107,178,68
AWD,39195,0,1,0,0,0,3.3,6,230,18,24,4065,107,186,73
Other,39235,0,0,0,0,0,4,8,270,18,25,3953,106,185,69
AWD,39250,0,1,0,0,0,4.6,8,217,12,16,4576,100,185,74
Other,39465,0,0,0,0,0,2.3,4,250,21,29,3470,106,190,71
AWD,39640,0,0,0,0,0,3,6,220,18,25,3880,109,192,71
RWD,39995,0,0,0,0,0,2.5,6,184,19,28,3428,114,191,73
RWD,40095,0,0,0,0,0,3.9,8,280,17,24,3768,115,194,73
Other,40235,0,0,1,0,0,4,8,270,18,25,4067,106,184,69
RWD,40320,1,0,0,0,0,2.3,4,192,21,29,3055,95,158,68
AWD,40340,0,0,0,0,1,6,8,300,13,17,4804,144,NA,NA
Other,40565,0,0,0,0,0,2.4,5,197,21,28,3450,105,186,72
AWD,40590,1,0,0,0,0,3.2,6,250,21,29,3351,96,159,73
Other,40670,0,0,0,0,0,2,4,210,21,29,3480,105,182,69
Other,40720,0,0,0,0,0,3.8,6,240,18,28,3909,114,207,75
AWD,40840,0,0,1,0,0,3,6,220,18,25,4035,109,192,71
Other,40845,0,0,1,0,0,2.3,4,250,19,29,3620,106,190,71
RWD,41010,0,0,0,0,0,3,6,220,18,25,3649,110,189,71
RWD,41045,1,0,0,0,0,3,6,225,21,29,2998,98,161,70
AWD,41250,0,1,0,0,0,2.9,6,268,15,20,4638,113,189,75
AWD,41465,0,1,0,0,0,5.3,8,295,14,18,5050,116,197,79
AWD,41475,0,1,0,0,0,6.8,10,310,NA,NA,7190,137,227,80
RWD,41815,0,0,0,0,0,4.6,8,239,17,25,4369,118,215,78
RWD,41995,0,0,0,0,1,5.3,8,300,16,19,4760,116,NA,NA
Other,42490,0,0,0,0,0,3,6,220,20,27,3814,105,180,70
Other,42565,0,0,0,0,0,2.3,5,242,20,26,3450,105,186,72
Other,42735,0,1,0,0,0,5.3,8,295,14,18,4947,130,219,79
AWD,42840,0,0,0,0,0,2.7,6,250,18,25,3836,109,192,71
RWD,42845,0,0,0,0,0,4.5,8,340,17,23,3851,110,197,70
Other,42915,0,1,0,0,0,4.6,8,302,13,18,4834,114,193,76
Other,43175,0,0,0,0,0,2,4,210,21,30,3700,105,182,69
RWD,43365,1,0,0,0,0,2.7,6,228,20,29,2811,95,170,70
RWD,43495,0,0,0,0,0,3.9,8,280,17,24,3768,115,194,73
Other,43755,0,0,0,0,0,3.5,6,225,18,24,3880,115,197,72
RWD,43895,0,0,0,0,0,3,6,235,18,26,3777,115,192,72
AWD,44240,0,0,0,0,0,3,6,220,18,25,4013,105,180,70
RWD,44295,0,0,0,0,0,3,6,225,19,28,3616,107,177,69
RWD,44535,1,0,0,0,0,5.7,8,350,18,25,3246,105,180,74
RWD,44925,0,0,0,0,0,4.6,8,239,17,25,4369,118,215,78
RWD,44995,0,0,0,0,0,3,6,225,20,30,3472,114,191,73
Other,45210,0,0,0,0,0,2.9,6,268,19,26,3653,110,190,72
Other,45445,0,0,0,0,0,4.6,8,275,18,26,3984,115,207,74
AWD,45700,0,1,0,0,0,4.7,8,235,15,19,4740,110,188,74
RWD,45707,0,0,0,0,0,3.2,6,215,20,26,3770,107,183,69
Other,46100,0,0,0,0,0,3.5,6,225,18,24,3893,115,197,72
AWD,46265,0,1,0,0,0,6,8,325,13,17,6133,130,219,79
AWD,46470,0,1,0,0,0,5,8,288,14,17,4874,111,183,72
Other,46995,0,1,0,0,0,4.6,8,320,16,21,4302,116,195,73
Other,47955,0,0,0,0,0,4.6,8,275,18,26,3992,112,201,75
AWD,48040,0,0,0,0,0,4.2,8,340,14,20,3825,104,179,70
RWD,48170,0,0,0,0,0,3.2,6,221,19,27,3635,112,190,71
RWD,48195,1,0,0,0,0,3.2,6,333,16,24,3415,108,177,70
RWD,48450,0,0,0,0,0,4.3,8,300,18,23,3715,110,189,71
